Date,Year,Month,Day,Weekday,Product_Category,Region,Sales_Amount,Units_Sold,Promotion_Active,Holiday,Weekend,Month_End,Sales_Amount_Capped,Quarter,Day_Of_Year,Is_Weekend,Is_Month_End,Season,Days_Since_Start,Category_Encoded,Region_Encoded,Season_Encoded
2021-01-01,2021,1,1,4,Electronics,North,451.63,0,False,True,False,False,451.63,1,1,0,0,Winter,0,2,1,3
2021-01-01,2021,1,1,4,Electronics,South,696.24,1,True,True,False,False,696.24,1,1,0,0,Winter,0,2,2,3
2021-01-01,2021,1,1,4,Electronics,East,494.91,0,False,True,False,False,494.91,1,1,0,0,Winter,0,2,0,3
2021-01-01,2021,1,1,4,Electronics,West,494.91,1,False,True,False,False,494.91,1,1,0,0,Winter,0,2,3,3
2021-01-01,2021,1,1,4,Clothing,North,428.15,6,False,True,False,False,428.15,1,1,0,0,Winter,0,1,1,3
2021-01-01,2021,1,1,4,Clothing,South,524.42,12,False,True,False,False,524.42,1,1,0,0,Winter,0,1,2,3
2021-01-01,2021,1,1,4,Clothing,East,440.34,7,False,True,False,False,440.34,1,1,0,0,Winter,0,1,0,3
2021-01-01,2021,1,1,4,Clothing,West,578.95,10,True,True,False,False,578.95,1,1,0,0,Winter,0,1,3,3
2021-01-01,2021,1,1,4,Home & Garden,North,356.72,4,False,True,False,False,356.72,1,1,0,0,Winter,0,3,1,3
2021-01-01,2021,1,1,4,Home & Garden,South,507.08,6,True,True,False,False,507.08,1,1,0,0,Winter,0,3,2,3
2021-01-01,2021,1,1,4,Home & Garden,East,380.23,4,False,True,False,False,380.23,1,1,0,0,Winter,0,3,0,3
2021-01-01,2021,1,1,4,Home & Garden,West,406.81,5,False,True,False,False,406.81,1,1,0,0,Winter,0,3,3,3
2021-01-01,2021,1,1,4,Sports & Outdoors,North,502.67,7,True,True,False,False,502.67,1,1,0,0,Winter,0,4,1,3
2021-01-01,2021,1,1,4,Sports & Outdoors,South,471.48,7,False,True,False,False,471.48,1,1,0,0,Winter,0,4,2,3
2021-01-01,2021,1,1,4,Sports & Outdoors,East,414.18,7,False,True,False,False,414.18,1,1,0,0,Winter,0,4,0,3
2021-01-01,2021,1,1,4,Sports & Outdoors,West,428.13,6,False,True,False,False,428.13,1,1,0,0,Winter,0,4,3,3
2021-01-01,2021,1,1,4,Books,North,328.96,17,False,True,False,False,328.96,1,1,0,0,Winter,0,0,1,3
2021-01-01,2021,1,1,4,Books,South,425.35,20,False,True,False,False,425.35,1,1,0,0,Winter,0,0,2,3
2021-01-01,2021,1,1,4,Books,East,385.14,15,False,True,False,False,385.14,1,1,0,0,Winter,0,0,0,3
2021-01-01,2021,1,1,4,Books,West,456.27,26,True,True,False,False,456.27,1,1,0,0,Winter,0,0,3,3
2021-01-02,2021,1,2,5,Electronics,North,322.01,0,False,False,True,False,322.01,1,2,1,0,Winter,1,2,1,3
2021-01-02,2021,1,2,5,Electronics,South,369.62,0,False,False,True,False,369.62,1,2,1,0,Winter,1,2,2,3
2021-01-02,2021,1,2,5,Electronics,East,328.13,0,False,False,True,False,328.13,1,2,1,0,Winter,1,2,0,3
2021-01-02,2021,1,2,5,Electronics,West,354.93,0,False,False,True,False,354.93,1,2,1,0,Winter,1,2,3,3
2021-01-02,2021,1,2,5,Clothing,North,321.01,5,False,False,True,False,321.01,1,2,1,0,Winter,1,1,1,3
2021-01-02,2021,1,2,5,Clothing,South,397.39,6,False,False,True,False,397.39,1,2,1,0,Winter,1,1,2,3
2021-01-02,2021,1,2,5,Clothing,East,437.21,8,True,False,True,False,437.21,1,2,1,0,Winter,1,1,0,3
2021-01-02,2021,1,2,5,Clothing,West,433.13,7,True,False,True,False,433.13,1,2,1,0,Winter,1,1,3,3
2021-01-02,2021,1,2,5,Home & Garden,North,301.97,3,False,False,True,False,301.97,1,2,1,0,Winter,1,3,1,3
