feature,importance
lag_28,0.1790964862814081
rolling_mean_7,0.10624056615978808
lag_35,0.1007291730059147
lag_1,0.07863147690711929
day,0.0757427067424821
lag_7,0.0690078055656082
lag_21,0.0600099188432936
lag_14,0.05903368610995358
dayofweek,0.05211457984491206
lag_42,0.04555593919914452
rolling_mean_30,0.0382297486847258
rolling_std_7,0.029318795044790263
rolling_mean_14,0.027653037112232028
rolling_mean_60,0.016141351287630487
rolling_std_14,0.015220711061261069
rolling_std_30,0.012159743765940168
rolling_std_60,0.011360046846836327
dayofyear,0.0074709934666259276
weekofyear,0.006464605486506437
year,0.005426164598220116
month,0.0033457266073652512
quarter,0.001046737378241813
