Date,Year,Month,Day,Weekday,Product_Category,Region,Sales_Amount,Units_Sold,Promotion_Active,Holiday,Weekend,Month_End
2021-01-01,2021,1,1,4,Electronics,North,451.63,0,False,True,False,False
2021-01-01,2021,1,1,4,Electronics,South,696.24,1,True,True,False,False
2021-01-01,2021,1,1,4,Electronics,East,494.91,0,False,True,False,False
2021-01-01,2021,1,1,4,Electronics,West,494.91,1,False,True,False,False
2021-01-01,2021,1,1,4,Clothing,North,428.15,6,False,True,False,False
2021-01-01,2021,1,1,4,Clothing,South,524.42,12,False,True,False,False
2021-01-01,2021,1,1,4,Clothing,East,440.34,7,False,True,False,False
2021-01-01,2021,1,1,4,Clothing,West,578.95,10,True,True,False,False
2021-01-01,2021,1,1,4,Home & Garden,North,356.72,4,False,True,False,False
2021-01-01,2021,1,1,4,Home & Garden,South,507.08,6,True,True,False,False
2021-01-01,2021,1,1,4,Home & Garden,East,380.23,4,False,True,False,False
2021-01-01,2021,1,1,4,Home & Garden,West,406.81,5,False,True,False,False
2021-01-01,2021,1,1,4,Sports & Outdoors,North,502.67,7,True,True,False,False
2021-01-01,2021,1,1,4,Sports & Outdoors,South,471.48,7,False,True,False,False
2021-01-01,2021,1,1,4,Sports & Outdoors,East,414.18,7,False,True,False,False
2021-01-01,2021,1,1,4,Sports & Outdoors,West,428.13,6,False,True,False,False
2021-01-01,2021,1,1,4,Books,North,328.96,17,False,True,False,False
2021-01-01,2021,1,1,4,Books,South,425.35,20,False,True,False,False
2021-01-01,2021,1,1,4,Books,East,385.14,15,False,True,False,False
2021-01-01,2021,1,1,4,Books,West,456.27,26,True,True,False,False
2021-01-02,2021,1,2,5,Electronics,North,322.01,0,False,False,True,False
2021-01-02,2021,1,2,5,Electronics,South,369.62,0,False,False,True,False
2021-01-02,2021,1,2,5,Electronics,East,328.13,0,False,False,True,False
2021-01-02,2021,1,2,5,Electronics,West,354.93,0,False,False,True,False
2021-01-02,2021,1,2,5,Clothing,North,321.01,5,False,False,True,False
2021-01-02,2021,1,2,5,Clothing,South,397.39,6,False,False,True,False
